"index","op","name","z","type","value","probability"
4,"Combine","Moat date",,"posterior",-2484.5,0.000017487
4,"Combine","Moat date",,"posterior",-2479.5,0.000019924
4,"Combine","Moat date",,"posterior",-2474.5,0.000013815
4,"Combine","Moat date",,"posterior",-2469.5,4.119e-7
4,"Combine","Moat date",,"posterior",-2464.5,0
4,"Combine","Moat date",,"posterior",-2459.5,0
5,"R_Date","TG3N-1",,"likelihood",-3014.5,0
5,"R_Date","TG3N-1",,"likelihood",-3009.5,0
5,"R_Date","TG3N-1",,"likelihood",-3004.5,4.744e-9
5,"R_Date","TG3N-1",,"likelihood",-2999.5,9.487e-9
5,"R_Date","TG3N-1",,"likelihood",-2994.5,9.487e-9
5,"R_Date","TG3N-1",,"likelihood",-2989.5,4.744e-9
5,"R_Date","TG3N-1",,"likelihood",-2984.5,4.744e-9
5,"R_Date","TG3N-1",,"likelihood",-2979.5,0
5,"R_Date","TG3N-1",,"likelihood",-2974.5,0
5,"R_Date","TG3N-1",,"likelihood",-2969.5,0
5,"R_Date","TG3N-1",,"likelihood",-2964.5,0
5,"R_Date","TG3N-1",,"likelihood",-2959.5,0
5,"R_Date","TG3N-1",,"likelihood",-2954.5,0
5,"R_Date","TG3N-1",,"likelihood",-2949.5,0
5,"R_Date","TG3N-1",,"likelihood",-2944.5,0
5,"R_Date","TG3N-1",,"likelihood",-2939.5,0
5,"R_Date","TG3N-1",,"likelihood",-2934.5,0
5,"R_Date","TG3N-1",,"likelihood",-2929.5,4.744e-9
5,"R_Date","TG3N-1",,"likelihood",-2924.5,9.487e-9
5,"R_Date","TG3N-1",,"likelihood",-2919.5,1.8974e-8
5,"R_Date","TG3N-1",,"likelihood",-2914.5,6.167e-8
5,"R_Date","TG3N-1",,"likelihood",-2909.5,1.8974e-7
5,"R_Date","TG3N-1",,"likelihood",-2904.5,6.309e-7
5,"R_Date","TG3N-1",,"likelihood",-2899.5,0.0000016887
5,"R_Date","TG3N-1",,"likelihood",-2894.5,0.000004207
5,"R_Date","TG3N-1",,"likelihood",-2889.5,0.000010502
5,"R_Date","TG3N-1",,"likelihood",-2884.5,0.00002727
5,"R_Date","TG3N-1",,"likelihood",-2879.5,0.00007194
5,"R_Date","TG3N-1",,"likelihood",-2874.5,0.00017448
5,"R_Date","TG3N-1",,"likelihood",-2869.5,0.000354
5,"R_Date","TG3N-1",,"likelihood",-2864.5,0.000534
5,"R_Date","TG3N-1",,"likelihood",-2859.5,0.0006977
5,"R_Date","TG3N-1",,"likelihood",-2854.5,0.0008873
5,"R_Date","TG3N-1",,"likelihood",-2849.5,0.0011243
5,"R_Date","TG3N-1",,"likelihood",-2844.5,0.001428
5,"R_Date","TG3N-1",,"likelihood",-2839.5,0.0017697
5,"R_Date","TG3N-1",,"likelihood",-2834.5,0.0021042
5,"R_Date","TG3N-1",,"likelihood",-2829.5,0.0023709
5,"R_Date","TG3N-1",,"likelihood",-2824.5,0.0024802
5,"R_Date","TG3N-1",,"likelihood",-2819.5,0.0023409
5,"R_Date","TG3N-1",,"likelihood",-2814.5,0.0019563
5,"R_Date","TG3N-1",,"likelihood",-2809.5,0.0013432
5,"R_Date","TG3N-1",,"likelihood",-2804.5,0.0007941
5,"R_Date","TG3N-1",,"likelihood",-2799.5,0.0004327
5,"R_Date","TG3N-1",,"likelihood",-2794.5,0.00026467
5,"R_Date","TG3N-1",,"likelihood",-2789.5,0.00020766
5,"R_Date","TG3N-1",,"likelihood",-2784.5,0.00023877
5,"R_Date","TG3N-1",,"likelihood",-2779.5,0.000336
5,"R_Date","TG3N-1",,"likelihood",-2774.5,0.0004602
5,"R_Date","TG3N-1",,"likelihood",-2769.5,0.0005265
5,"R_Date","TG3N-1",,"likelihood",-2764.5,0.0005594
5,"R_Date","TG3N-1",,"likelihood",-2759.5,0.0005934
5,"R_Date","TG3N-1",,"likelihood",-2754.5,0.0006661
5,"R_Date","TG3N-1",,"likelihood",-2749.5,0.0008613
5,"R_Date","TG3N-1",,"likelihood",-2744.5,0.0011866
5,"R_Date","TG3N-1",,"likelihood",-2739.5,0.001528
5,"R_Date","TG3N-1",,"likelihood",-2734.5,0.001655
5,"R_Date","TG3N-1",,"likelihood",-2729.5,0.0014637
5,"R_Date","TG3N-1",,"likelihood",-2724.5,0.0011125
5,"R_Date","TG3N-1",,"likelihood",-2719.5,0.0007811
